timestep,soil_organic_matter_N0.8_C2.5,soil_pH_N0.7_C2.8,soil_moisture_N0.4_C2.0,nutrient_levels_N0.6_C1.8,soil_structure_N1.0_C1.5,microbial_activity_N1.2_C1.2,biodiversity_N1.5_C0.8,soil_salinity_N1.8_C0.5,soil_temperature_N2.0_C0.3,soil_compaction_N1.6_C0.1
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,49.44739660114942,49.71878846557112,50.28942350099467,49.274735860708766,50.05031380643493,52.13241033059029,50.01165993864759,49.25792203076308,52.30358489217889,48.48877293733481
2,49.19391420770131,48.22666270803645,50.260345265759476,49.5612467462572,49.04175032820367,51.87654430689663,49.87532197263501,48.504961580690086,50.57961758322956,50.507119394183995
3,50.166176444364694,48.5603291950171,50.9604424238914,49.98247020872086,46.4522408815321,49.5641910214562,49.581544594857064,49.11881044127321,46.79542333565761,48.55833701208073
4,50.84299249559196,48.39765101721591,50.66461020359637,49.0059459280265,45.46299942893956,51.35205640240052,48.85342573530988,49.91257116661677,47.770323693242965,46.952329017813334
5,51.90307896757875,48.75755322924126,49.77408086828453,48.726390032050595,44.18811995461553,53.007014535088345,48.59226338037529,49.70123002156346,48.78572160858342,49.61859374873331
6,51.79550417476339,50.02323978293572,50.138128562156965,48.32902813657167,45.29949391006158,52.08229836309784,51.64342946063986,51.65572266764208,48.37711709707219,50.41552040747365
7,51.933712719623024,50.127532537809444,49.92730421695465,48.366273520672095,44.16775184303914,52.15316095905566,52.29014234326076,49.377792391203876,48.467766581458044,49.60555174516403
8,52.953958438276686,50.407837797144175,49.12353417137792,48.52153781398194,45.24848055716831,51.844424448269315,51.38187457124759,50.448115718270884,49.12154085751121,52.36514379328268
9,52.028469924679726,50.81017016094813,48.485307704523144,47.33616906844496,44.65056621400695,51.30340785403466,49.424405982815905,49.69266362910979,49.36781156001312,54.53078006148023
10,52.54788060388909,50.96994300847231,48.34702187995491,47.610046103299304,43.85143963978792,51.16388141410176,51.242415632785075,47.32788326039726,47.70217524630651,56.18879335342241
11,52.40595102748697,51.28031979424517,48.016095581697954,47.74832042271592,44.19049856822688,51.90209022592091,50.288168201199476,49.14609224216021,46.83776670115628,55.27231064161512
12,52.24416967036611,52.35995500378427,48.50795006306687,48.77936221433874,43.426677466345204,51.6205682352433,51.950330471808,46.41269398733643,45.98488448399268,55.072159350166835
13,52.36153097993591,53.35338434468095,49.16620277725797,49.517195413511665,43.869161567285055,50.13274970159795,53.554239181973834,46.438969882007896,51.28370003545449,52.86587095723379
14,52.888884584832105,52.74854572636762,49.23563558095899,50.08560077854179,44.03351171285292,50.89956073778937,55.671645238183366,46.783177155766964,51.91705445686009,53.41178279397811
15,52.64796212946704,52.94612590867408,49.02391695416545,49.95576018538836,44.14949927096374,50.005669436599284,56.624345876673765,45.50230712252438,47.99450786499526,54.77915227465334
16,52.27167087644303,52.78241704305251,49.159299702464885,49.652303359642715,44.40428162213444,51.094286684098506,55.22414015510008,47.71464563786406,48.54476530887785,56.10349327427475
17,53.926177270086754,53.23852776666999,49.016258499769684,49.865016180065034,44.01657194205917,53.275723224265846,55.41369353864534,49.358101521216255,49.56935541213991,55.611909339557506
18,55.40426313604585,54.07797804446365,48.61678383573618,49.901809507340076,41.56612552108504,53.14856280712462,55.31024292332378,50.59533870419157,51.038801547150385,52.43470789907257
19,57.185762495941326,55.13019292712146,48.4573757919661,50.025372008996435,40.86718679651097,52.80998578256314,55.58270564546297,49.72171072616477,50.09541879067639,53.74322923656281
20,58.43584165022696,55.73294574435567,49.32997344660537,49.85047712294665,40.54955257587099,55.16441220417447,56.87010913019323,51.068712930403315,50.63826600059292,53.830897891729585
21,58.50137046747317,55.49295007818866,49.84424781154713,49.97344260801971,41.65502523639888,54.79820295467051,55.87953336699892,53.78116144974556,53.13269399792472,54.65609739426492
22,57.0808533223479,55.33257430279009,50.12594283302086,51.377770713482604,41.631186386757896,56.02040919239501,55.539989508054575,55.49893237965936,50.9934179252983,54.15923527599792
23,57.98263837670174,54.198868030040245,50.76337255665301,51.88266920481353,40.05647569979546,56.30203659624018,54.26223476532881,56.343872088685586,52.6672573784977,50.75935776972534
24,57.37912046671448,54.88580735291793,50.42587031995286,51.26831558750566,40.13526509324859,57.25842559146001,54.86493772040161,58.19907254095109,53.04489125695613,48.81975074316558
25,56.20294380998444,54.30918002165107,50.15427373957239,52.27133463698235,38.66298650290897,59.89048452416085,58.53342546940012,59.791192679644944,54.58914082858775,44.93196728121229
26,56.4439380802536,54.55482243142593,49.78802791224545,52.453550109432186,39.42089520993263,59.387374576652796,57.52638417551907,56.91316477540719,51.928710719264714,44.10672910221031
27,57.2676371276434,53.659811887730015,48.994293905030005,52.51373277506987,40.10478295858998,59.95239351645557,57.69389341923652,54.12594464023446,56.327902738462626,44.936255281868874
28,57.32893282592202,52.73319109981672,48.93487650855225,52.356965500337274,40.31664402703155,59.66205095214891,60.46023391551379,56.511360061266615,55.0041132138262,42.829448390986926
29,56.91795690408349,54.602061884529995,49.61574923656784,51.41982277331011,39.56620159159441,60.44251811208489,60.642050875341134,54.942926950771636,55.4178197938692,42.51106804076794
30,56.096267115507175,54.32531254177532,49.286033426250334,51.048967849092605,42.22512551536933,62.94221665070798,61.47297800492079,54.69671464238446,58.15971919944901,41.84172543515062
31,56.80011576105143,55.3524226742674,50.10740280517474,49.915115498054845,42.5261087313225,62.989167094986264,59.48529183323205,55.414534804720304,56.27675249171878,43.44778777898415
32,58.054428341526034,54.917271823599485,49.65189931696996,49.91985879503392,42.41518075524337,62.884161091286906,59.79074466120546,57.29290657526108,56.11436074687887,42.48580005088812
33,58.481585157675255,53.74328703163636,49.332376547099415,51.67020488091302,43.019840659534545,62.43397193751905,60.741716315175985,54.99589381349294,53.72520523377451,41.23722386355133
34,58.598583492889574,55.31002084898555,49.27748209043333,51.76753616813821,41.931809164394814,63.06767185478489,58.36346622587998,54.99014763653934,57.496746855952566,39.06026637439962
35,59.51702675432269,55.6672446776129,48.71472304446035,51.74432918687095,43.045652523167476,63.42156424302239,56.184197577819965,52.21654723766824,55.98119085747758,35.541127598086305
36,60.28016095345125,56.29727221732225,48.71678760187606,51.15705173505059,44.19482158434744,64.13436536952156,56.729030685390626,50.862703043258875,55.135636463327465,38.31336498107093
37,57.38400575998434,57.161948800649746,48.53708698755024,52.39409364251674,45.22166528423863,62.29397398095339,54.499487290301886,52.49708737788231,55.16632451278919,38.802946517718766
38,58.4624316096189,56.45599449095084,49.422568600474904,52.380864945276166,44.44733388093653,62.76699400476063,56.47457822235891,51.38634454257712,55.50911912498704,35.86774350720755
39,58.18059861433819,57.05888646487173,48.837653745891124,52.50172310458257,43.79140929739014,63.67295538736825,56.165708479079456,49.726915177095606,54.09430056675695,36.55140873653188
40,57.62743263114491,56.99708807519363,48.49088242271522,51.8872616504133,43.50374510590393,62.56958138189327,53.035213463589415,46.33662283458697,53.8317399279121,36.23533435547575
41,56.75159989785115,56.33394733823149,48.45207509920488,52.27013104549532,43.71456066904854,63.26201055261437,51.153555160619725,44.97950755402538,52.69197734089856,38.0172314297202
42,57.601451188590026,55.74614599837592,49.08939110904623,52.59797275936215,43.64727682520992,65.16321357943005,50.22789312384725,45.11600008234619,53.76918955829687,39.051266903287036
43,57.95542051993372,54.83944467231367,48.59187889983628,51.86367514395271,43.34035794163969,65.54103792860818,50.91520351199213,45.18303810225576,53.643210251467956,37.759849350123915
