timestep,soil_organic_matter_N0.8_C2.5,soil_pH_N0.7_C2.8
0,50.0,50.0
1,51.25036649029326,47.44496611275432
2,51.696992236109395,47.618823684647694
3,48.44403975288447,46.954569289749166
4,51.407984386694395,49.657537806098745
5,48.86528596924266,52.647522312138456
6,49.47182641529855,49.7105566807052
7,50.9017981396493,46.513820313314014
8,49.96344744809448,49.34680345335487
9,47.176075623107835,52.0676515660401
10,45.6671104131848,54.55397933972681
11,45.94256734791543,56.34266155105443
12,42.5033480844457,58.96660950511124
13,41.82205343598642,57.259381034265395
14,42.28483377659704,55.793100817422484
15,39.3684529591137,58.36565589217008
16,42.85562096768647,55.82703010724833
17,43.58388641944642,58.00582082696383
18,43.44618191155412,61.29516377760856
19,45.442931130123554,64.38690489353479
20,49.49470989600942,62.0706962812691
21,50.27973819007954,59.89034379311065
22,46.77536178589481,56.219838405897676
23,49.77118810311482,59.99881947061165
24,48.92912518531866,63.35497192491817
25,49.88837983680223,59.7866892998834
26,50.551249252697446,59.364029848484954
27,51.030332951874804,57.44140792330161
28,50.545351384915485,60.095405390507864
29,52.8731820209823,57.31784956333219
30,50.75795766228553,54.08299582704826
31,53.13694203542985,53.57227207337599
32,53.17145544762235,50.25634141177895
33,50.202860022800934,51.93092388021808
34,51.14074864769073,51.6764039060397
35,54.00876297099282,55.02949544892099
36,53.1607292045985,55.1080120647169
37,50.23260772988788,57.554388160002915
38,49.22250599765467,57.3278054483845
39,48.85833543079081,59.58408950196227
40,47.517610474110185,60.92585909320071
41,44.14391730169941,60.74889969111766
42,46.78259875792919,60.42432600028011
43,47.51828074095133,60.714579381066706
44,44.75826071021026,64.37778085549354
45,42.72057489381988,68.91536364805363
46,40.27056773923671,70.60374548803412
47,38.467424876996596,70.43443151610292
48,41.56645891136218,72.23103058598565
49,41.35102422088322,72.65680754878505
50,43.246712304999306,75.18568398505
51,45.05053187904663,78.26854485045654
52,43.78892140445192,77.46947766863872
53,45.297562408097534,79.98169759364008
54,45.49431935285858,78.0559731449528
55,48.65457077020822,81.5682243885834
56,51.19891527922269,78.60039685751121
57,52.98467264621913,76.41074317173698
58,53.64753202517498,76.35784852298123
59,49.9923386533861,76.05205277720458
60,51.767045395689856,72.87825586947234
61,55.09559022628463,68.74580361869755
62,52.80480078740817,68.34437141656998
63,54.44555802622584,71.76808324483426
64,54.51468656233974,70.55186638005209
65,56.136242870602764,68.02966553062292
66,58.712090300209596,64.83892098319522
67,56.741416960405125,67.31567022818278
68,54.66220480073641,67.57664872280368
69,53.9685792634191,67.0242284651419
70,55.100453454563514,63.601523577993994
71,57.66364652997888,66.47981366405483
72,53.892075507803135,64.8086889633943
73,50.83987602480944,66.45115914576367
74,50.802386192933106,63.96634747772889
75,54.94555366627763,63.96028920087164
76,52.92997342032323,64.52715525665309
77,49.149196798663276,63.47516833048433
78,51.20056670005117,66.27538002185815
79,48.00510182315514,70.20437274417748
80,45.05293093333016,72.62750380873726
81,45.542030147069276,70.55717791365115
82,47.487566988876914,68.1995347827179
83,44.924833655666,70.9843712663215
84,48.78875548460275,72.04849253041004
85,47.62761906676947,75.03327604888524
86,50.69360491327846,77.34369488594689
87,48.04960747371441,76.8400348899818
88,47.46939060294148,78.64141732493529
89,45.01180620386462,78.95492250072948
90,44.61066498903711,82.19343090099443
91,42.273608112296735,84.50184073174829
92,41.546757411251235,84.4298836200276
93,39.17659245282346,86.04443331251122
94,36.67331107141852,85.78980263072232
95,36.90021033854129,83.305520751445
96,38.46324448435934,84.73192395530165
97,39.06729137680063,82.42614542974546
98,38.85257118620058,86.78529027054192
99,39.044686571084895,87.74110359144386
100,40.864805697671855,89.7611807359447
101,42.366270516281844,89.6047335333653
102,44.45431509776005,87.28686889662774
103,43.846991607230066,84.22316968774079
104,46.46256690152727,84.2495665966535
105,44.651455150798476,82.14701040395279
106,41.25040625364997,84.14726633854852
107,41.01309286074087,81.32481045974457
108,40.56702206033031,77.80809100764675
109,41.5229065796439,75.00499740863341
110,39.26583088217608,71.08650870869047
111,43.15766208785862,68.93202294802589
112,41.57302031632455,71.01620226923322
113,41.44204408468166,68.33918773667592
114,45.09136917979161,71.71432088763655
115,42.78177393814353,71.62605345641943
116,44.72427571014199,74.43446370863424
117,41.95942938458748,75.061514142336
118,39.26072614908185,76.93537009012432
119,38.49301352153528,74.09531395669448
120,36.99578366119704,76.83683186679936
121,35.94466695973928,74.39615653519525
122,33.54333305214103,75.12396358227589
123,33.10300289438845,75.92325683948775
124,28.84839226487251,77.9384688896526
125,29.138361543635803,80.93521860991554
126,27.972125595264,84.08580693144525
127,28.467395221247717,80.64842808477671
128,25.535885958813136,83.93878263277756
129,26.066444552800967,85.27486649242734
130,28.938115601710862,82.54087770036631
131,28.36402235400719,86.14915480332829
132,28.80283142319232,82.5983628176994
133,31.819030484390304,79.04306881111314
134,28.57445885281526,83.02603801633767
135,25.034327020957562,83.47520692399218
136,23.880878310068088,86.74618272863236
137,22.171501374509205,86.54772654624281
138,20.390488397161068,83.55082957918287
139,23.037289917552222,81.15522531608076
140,20.557776902187648,81.10185782502057
141,21.480943283847594,84.64195703558188
142,24.402257256270946,85.5325980249114
143,26.829482050202536,87.42447289058948
144,23.882158502535045,87.9318208465566
145,25.672872802940628,86.0973555422387
146,28.305402520690393,86.7685319730832
147,28.511357356332685,89.44852193262437
148,28.830256607170742,85.76227356838879
149,26.824498056723662,87.4987980438625
150,29.72980851111176,83.99275686363708
151,29.348581294371723,87.70513244264306
152,31.201223119037273,89.70842321646985
153,29.760373190917427,90.09083430385277
154,28.437549603134975,93.2164219815233
155,29.34053277376642,90.44479827888883
156,27.082037287121093,93.48033789131306
157,24.967197587884332,93.22684035993474
158,26.996929675798025,90.064913645972
159,25.900686279965516,86.33373961698413
160,23.333809844211466,88.25576052357047
161,21.334713096266732,85.65556282301569
162,19.463440557714733,87.49962676155792
163,19.135060419769466,90.1641152342104
164,18.98921217858205,87.42981017306712
165,16.378007643333895,83.41108262131506
166,13.866350204412358,83.32424949525145
167,16.09532822614787,83.96633225471746
168,12.950631660177486,84.93259642973257
169,17.051088684535507,85.90736252071721
170,16.618098585970007,88.45227903373308
171,15.440560767381982,85.98087033743931
172,13.508674220149144,86.26631137837711
173,12.906808061451407,88.81051825827616
174,10.583527338175001,91.69336968403474
175,13.388806321252853,91.40852115357265
176,10.88270512837827,91.40359952644003
177,14.522453846536258,94.1012209239336
178,14.432659319094297,93.21505986241873
179,11.152160680892964,93.71792036963454
180,8.479800618134425,96.03047466837427
181,7.979128144440569,96.06548795018392
182,9.445123273161947,99.99849350027932
183,7.8419593399275005,100.0
184,6.364504337116595,95.82305518086143
185,7.222117547231509,92.97782215706889
186,9.290252535136482,94.748710553353
187,7.38725000694914,91.46983874925955
188,9.408391047837998,93.26180117722402
189,11.367646417681062,90.69179748847758
190,10.960817758432288,93.48974543493661
191,8.256961511427495,95.86859905069879
192,4.462953710896403,98.99131420244414
193,4.801716710190198,98.58786648973468
194,6.958330079851943,96.5750247366298
195,6.512245943892087,95.99986358800221
196,4.273777541204046,95.86897689336226
197,4.22234825411924,95.99895693848114
198,1.9260045936764012,92.66596374663199
199,1.1162106538608985,92.44018663538624
200,2.3113423298326206,89.50229215379072
201,0.0,87.83488178969209
202,1.8822318902387773,89.01154058058805
203,1.0657830482064288,88.714175792487
204,1.413000844579277,89.61155936512061
205,3.685479996265976,91.95058171350753
206,1.4240238105995844,92.7784574414915
207,0.0,94.9484522987538
208,2.59175097264381,98.09104538803976
209,1.0284953738959368,100.0
210,0.06410487866145642,100.0
211,0.0,100.0
212,0.0,98.89785774257786
213,0.2610612705597061,98.09214875987526
214,0.2887611652982548,96.94363222131436
215,0.0,96.49245914886811
216,1.5188967448806352,98.63596868163759
217,0.0,97.683037412117
218,1.8791728418316027,100.0
219,0.0,97.25175662375516
220,1.3326761960726714,94.41163878814737
221,0.0,91.35172790295628
222,0.5697728439369176,90.72158813498935
223,3.82946062468831,93.41748483019634
224,3.102763151659622,95.47293241319171
225,1.2360508535044055,96.1797941342566
226,0.8694001339229744,96.74971626422546
227,0.8387634864437815,97.74537794340313
