timestep,soil_organic_matter_N0.8_C2.5,soil_pH_N0.7_C2.8,soil_moisture_N0.4_C2.0,nutrient_levels_N0.6_C1.8,soil_structure_N1.0_C1.5,microbial_activity_N1.2_C1.2,biodiversity_N1.5_C0.8,soil_salinity_N1.8_C0.5,soil_temperature_N2.0_C0.3,soil_compaction_N1.6_C0.1
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,50.9590257646295,50.16259914955937,47.98395367662082,50.20065958234443,48.67333586838779,46.16563378197962,46.50205915892475,52.1766242439994,52.93794608221687,48.227880355980346
2,47.59891438861992,53.09393482164814,47.211325517190865,48.2388637068952,46.81014314522151,48.6643431002095,44.61715824788947,52.698555885286346,54.53918947029598,50.13241096485881
3,45.508704684445455,56.42749406855124,49.74722355640078,49.975276676572534,48.49453716934646,50.48259751688131,43.48466941469703,51.15783023388912,52.16577595841481,52.70789899548004
4,43.40266811967113,53.5642709473137,47.46988542319103,51.5484924672924,47.42850721114396,50.82423807405807,44.45120241064214,49.05031973742971,47.761432450377534,50.324503039596785
5,40.79498863333814,51.45296858557652,49.552490956643325,53.397724853532075,47.14874418330943,50.21230657057429,42.152589574668255,48.08052955127058,49.92079052579877,48.13656335062057
6,38.93727305240757,48.070025436057655,49.500985765353704,51.111383112252504,49.93513136579956,49.222321078339945,41.51594859965098,45.8083828239436,49.99727891113497,48.00125067256045
7,39.53455412376509,44.242602154246086,47.60299238010964,50.00166670436089,50.29100782734133,49.250159700724794,41.83111240724989,49.5252971589733,46.55482594314068,50.305956375045525
8,41.98868647542401,41.054902426068814,47.67771302507919,51.94281516415175,49.14242439663693,48.42628686384429,43.67682755478671,49.56286700710136,46.9549656924643,51.40416615070313
9,45.516708838063906,44.108727732728966,47.98850019753431,49.81494183294105,49.59125963446086,50.27626773877118,43.67125351316071,49.472537894193216,46.45312915615049,49.343880475140885
10,46.94913282003082,40.070650831336174,50.19539608660757,49.186649353854996,48.64757349052246,49.74087844715936,43.60077939358409,49.09910819017685,47.92474648216523,48.74620469878895
11,43.95330225579329,43.67485945239103,52.08073011803143,49.74169381770881,50.47593834506552,50.640471068486434,46.03441550631643,46.17496628666879,50.96660324971908,49.521438644465626
12,43.057120434355454,46.87736275423752,54.027547333813935,50.67499397087862,51.51956996771602,53.45852187165232,44.135432428464846,44.54474740223867,52.8534353923486,49.43936699914505
13,42.95132724084515,49.27931575395362,55.579611513991665,50.20091308726763,49.75119529276453,55.489616198590674,43.87502838427803,46.330386312861975,50.533568450007344,47.70613412586799
14,39.85211616211631,51.90955890381937,54.41781944307749,49.99788302404382,50.1010661205061,55.981884604741985,43.67250168335339,46.286272609035734,48.98325852796371,45.9541890464572
15,40.377330777389,52.5920304627088,54.380045740518916,48.302285822322716,51.287148472389255,55.228127907273134,44.9208565605216,45.99024590587317,48.30859185757307,49.47313259761373
16,37.34995716607918,49.01415996645133,55.264741707855954,47.73417965208743,52.20806984731159,54.820083932729204,45.78338400030525,46.09117150300074,51.36288839534008,47.25368053491228
17,37.674671758723946,51.45533154886471,55.0907736287301,49.83919699998313,53.790135000154464,55.50959785650884,47.226642813990765,46.171788973002265,50.996953617768774,43.87936784124447
18,34.52463011675235,54.79301636925632,56.88767731174419,47.812758063947555,55.83855865020898,57.62043597084805,47.048395536445206,44.89611353102469,51.20357344703023,43.287910327955416
19,32.22427000397669,57.21024622158045,57.358084752154404,46.578787043097535,57.375471290985566,56.78803639361777,47.77680500346314,45.90499180401409,52.60799577677803,45.367154791884104
20,29.226133145044862,60.39947175877463,60.45652747096376,43.96025693375453,57.58198459832751,56.63188289872168,48.563859002648904,42.64987087698764,50.7878394007933,43.52198520419067
21,31.89662382248742,56.69848993952419,62.508562182542455,44.163989134801625,55.71776016023064,56.299882251169954,47.47239933310724,44.37279959557034,52.5272454429762,45.19661492841543
22,34.091253292833414,59.3756587449205,62.08688503782616,45.19293379130185,54.38365370586949,56.43477520320249,46.46841735429316,43.88048493729318,51.75450536260514,47.30132762343274
23,29.904109137272272,57.349507770939674,60.69903076387675,44.394474454534894,55.81668811577286,59.053638392964416,42.42467592194708,42.69074360248675,53.45460138577389,46.39818340679993
24,30.958960564067517,59.16723949760884,61.10708984560927,42.3610787583912,55.31244865724661,56.50907919167637,41.228783715476226,46.33600143597961,53.09105700597457,46.62636895417072
25,29.090333976071843,62.25434143472249,63.00009172005858,44.22793218525274,54.50642514710157,58.176000938341815,41.82367437685625,45.21527184550865,55.26502430262382,44.720946835200216
26,31.252950197234185,58.74220424054171,63.50159766742899,41.21285850895257,55.55082033187563,55.72643383605576,43.24870483981761,47.99770955854451,56.684238882548804,45.59827595504392
27,33.99735558256354,62.016745007137075,61.25312702091204,38.14118599008583,54.8133741658999,54.95969556828379,42.14277081103598,44.036128120173714,56.93782855967115,45.70249962614675
28,33.8301365056385,62.38259505327685,61.29738963034049,38.10091917425477,56.51009871157729,55.96296141967433,42.93942514833752,44.78818816700867,55.692414151271414,47.13227735271044
29,36.57760456718582,59.737557081397,59.36011695154468,35.64157681056361,56.16531591491977,54.22585645254047,44.194886558465015,44.86722489513122,58.230578738192634,48.06719800065435
30,38.86960135377572,56.41329075125774,59.34951764645459,35.601735129562364,57.24466741657748,52.31821224925199,40.276630112453056,43.49257639105613,60.31717402361538,48.17173909810519
